dataset_name,model_name,sampling_strategy,val_accuracy,val_precision,val_recall,val_f1,val_pr_auc,val_balanced_accuracy,val_mcc,best_test_f1,best_test_mcc
cic_unsw,decision_tree,random_undersample,0.97,0.45098039215686275,0.92,0.6052631578947368,0.41690196078431374,0.9456410256410257,0.6325127417863848,0.696969696969697,0.7098316170389454
cic_unsw,logistic_regression,random_undersample,0.965,0.4074074074074074,0.88,0.5569620253164557,0.3709003539743471,0.9235897435897436,0.5852013181552654,0.696969696969697,0.7098316170389454
cic_unsw,knn,random_undersample,0.968,0.4186046511627907,0.72,0.5294117647058824,0.38716626570435714,0.8471794871794871,0.5343996542614251,0.696969696969697,0.7098316170389454
cic_unsw,decision_tree,baseline,0.979,0.6111111111111112,0.44,0.5116279069767442,0.2828888888888889,0.7164102564102565,0.5082625967865142,0.696969696969697,0.7098316170389454
cic_iomt_2024,random_forest,baseline,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999959218662746,0.9,0.8935250957719058,0.9959636730575177,0.5550686201007293
cic_iomt_2024,random_forest,smote,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999938812519209,0.9,0.8935250957719058,0.9959636730575177,0.5550686201007293
cic_iomt_2024,random_forest,adasyn,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999938812519209,0.9,0.8935250957719058,0.9959636730575177,0.5550686201007293
cic_iomt_2024,random_forest,smote_tomek,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999938812519209,0.9,0.8935250957719058,0.9959636730575177,0.5550686201007293
cic_iomt_2024,gradient_boosting,baseline,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999928619795225,0.9,0.8935250957719058,0.9959636730575177,0.5550686201007293
cic_iomt_2024,gradient_boosting,smote,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999846767921418,0.9,0.8935250957719058,0.9959636730575177,0.5550686201007293
cic_iomt_2024,gradient_boosting,smote_tomek,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999846767921418,0.9,0.8935250957719058,0.9959636730575177,0.5550686201007293
cic_iomt_2024,gradient_boosting,adasyn,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999815992918155,0.9,0.8935250957719058,0.9959636730575177,0.5550686201007293
cic_iomt_2024,logistic_regression,baseline,0.998,0.998989898989899,0.998989898989899,0.998989898989899,0.9999918364776262,0.9494949494949495,0.898989898989899,0.9959636730575177,0.5550686201007293
cic_iomt_2024,knn,smote,0.997,0.9979818365287588,0.998989898989899,0.9984856133266027,0.9999817447940555,0.8994949494949496,0.8417842664950117,0.9959636730575177,0.5550686201007293
cic_iomt_2024,knn,smote_tomek,0.997,0.9979818365287588,0.998989898989899,0.9984856133266027,0.9999817447940555,0.8994949494949496,0.8417842664950117,0.9959636730575177,0.5550686201007293
cic_iomt_2024,knn,adasyn,0.997,0.9979818365287588,0.998989898989899,0.9984856133266027,0.9999797062450947,0.8994949494949496,0.8417842664950117,0.9959636730575177,0.5550686201007293
cic_iomt_2024,knn,baseline,0.997,1.0,0.996969696969697,0.9984825493171472,0.9999827582105192,0.9984848484848485,0.8757281352678848,0.9959636730575177,0.5550686201007293
cic_iomt_2024,logistic_regression,smote,0.996,0.9959758551307847,1.0,0.9979838709677419,0.9999503025902556,0.8,0.7730365535202529,0.9959636730575177,0.5550686201007293
cic_iomt_2024,logistic_regression,smote_tomek,0.996,0.9959758551307847,1.0,0.9979838709677419,0.9999503025902556,0.8,0.7730365535202529,0.9959636730575177,0.5550686201007293
cic_iomt_2024,decision_tree,adasyn,0.996,0.9959758551307847,1.0,0.9979838709677419,0.9959758551307847,0.8,0.7730365535202529,0.9959636730575177,0.5550686201007293
cic_iomt_2024,logistic_regression,adasyn,0.996,0.9969758064516129,0.998989898989899,0.9979818365287588,0.999887977565032,0.8494949494949495,0.7807062705481803,0.9959636730575177,0.5550686201007293
cic_iomt_2024,decision_tree,baseline,0.996,0.997979797979798,0.997979797979798,0.997979797979798,0.9979636771757984,0.898989898989899,0.797979797979798,0.9959636730575177,0.5550686201007293
cic_iomt_2024,decision_tree,smote,0.996,0.997979797979798,0.997979797979798,0.997979797979798,0.9979636771757984,0.898989898989899,0.797979797979798,0.9959636730575177,0.5550686201007293
cic_iomt_2024,decision_tree,smote_tomek,0.996,0.997979797979798,0.997979797979798,0.997979797979798,0.9979636771757984,0.898989898989899,0.797979797979798,0.9959636730575177,0.5550686201007293
cic_iomt_2024,random_forest,random_undersample,0.996,1.0,0.9959595959595959,0.9979757085020243,0.9999736559624576,0.997979797979798,0.8434451442741914,0.9959636730575177,0.5550686201007293
cic_iomt_2024,knn,random_undersample,0.996,1.0,0.9959595959595959,0.9979757085020243,0.9999595959595959,0.997979797979798,0.8434451442741914,0.9959636730575177,0.5550686201007293
cic_iomt_2024,logistic_regression,random_undersample,0.99,0.99,1.0,0.9949748743718593,0.9997758811055075,0.5,0.0,0.9959636730575177,0.5550686201007293
cic_iomt_2024,gradient_boosting,random_undersample,0.99,0.99,1.0,0.9949748743718593,0.9993232323232324,0.5,0.0,0.9959636730575177,0.5550686201007293
cic_iomt_2024,decision_tree,random_undersample,0.99,0.99,1.0,0.9949748743718593,0.9989393939393939,0.5,0.0,0.9959636730575177,0.5550686201007293
