sampling_strategy,val_accuracy,val_precision,val_recall,val_f1,val_pr_auc,val_balanced_accuracy,val_mcc
smote,0.9869999999999999,0.7185607104961943,0.808,0.7555091420271256,0.6549999833542067,0.8997948717948718,0.7529624641142195
smote_tomek,0.9856,0.6681600955794504,0.8560000000000001,0.748378670509818,0.6467956858224867,0.9224615384615384,0.7482619684343292
adasyn,0.9858,0.674641577060932,0.8480000000000001,0.7475577116092339,0.6313550393860138,0.9186666666666667,0.7475753998171804
baseline,0.9823999999999999,0.6176930596285436,0.808,0.6871234634847492,0.612279973330384,0.8974358974358975,0.6917528884856115
random_undersample,0.9732,0.4964329729040329,0.8320000000000001,0.6144527457087711,0.5044185874309715,0.9044102564102564,0.6272143960920766
