model_name,sampling_strategy,val_accuracy,val_precision,val_recall,val_f1,val_pr_auc,val_balanced_accuracy,val_mcc
random_forest,baseline,0.988,0.7096774193548387,0.88,0.7857142857142857,0.8034156255636355,0.9353846153846154,0.7843910890458177
gradient_boosting,baseline,0.983,0.6111111111111112,0.88,0.7213114754098361,0.7380094962706877,0.9328205128205128,0.7254715331397107
logistic_regression,baseline,0.983,0.6111111111111112,0.88,0.7213114754098361,0.6369167287595805,0.9328205128205128,0.7254715331397107
knn,baseline,0.979,0.5454545454545454,0.96,0.6956521739130435,0.6001691271691271,0.9697435897435898,0.7151676903163038
decision_tree,baseline,0.979,0.6111111111111112,0.44,0.5116279069767442,0.2828888888888889,0.7164102564102565,0.5082625967865142
