model_name,sampling_strategy,val_accuracy,val_precision,val_recall,val_f1,val_pr_auc,val_balanced_accuracy,val_mcc
random_forest,baseline,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999959218662746,0.9,0.8935250957719058
gradient_boosting,baseline,0.998,0.9979838709677419,1.0,0.9989909182643795,0.9999928619795225,0.9,0.8935250957719058
logistic_regression,baseline,0.998,0.998989898989899,0.998989898989899,0.998989898989899,0.9999918364776262,0.9494949494949495,0.898989898989899
knn,baseline,0.997,1.0,0.996969696969697,0.9984825493171472,0.9999827582105192,0.9984848484848485,0.8757281352678848
decision_tree,baseline,0.996,0.997979797979798,0.997979797979798,0.997979797979798,0.9979636771757984,0.898989898989899,0.797979797979798
