sampling_strategy,val_accuracy,val_precision,val_recall,val_f1,val_pr_auc,val_balanced_accuracy,val_mcc
baseline,0.9974000000000001,0.9985874877810362,0.9987878787878788,0.9986868165631206,0.9995854111419481,0.9293939393939394,0.8719496047562787
adasyn,0.9970000000000001,0.997380248009328,0.9995959595959596,0.9984866314703724,0.9991638038969295,0.8697979797979798,0.8365154564214514
smote,0.9970000000000001,0.9975810463149651,0.9993939393939394,0.9984862237605803,0.9995748565208344,0.8796969696969696,0.8399701619077747
smote_tomek,0.9970000000000001,0.9975810463149651,0.9993939393939394,0.9984862237605803,0.9995748565208344,0.8796969696969696,0.8399701619077747
random_undersample,0.9924,0.994,0.9983838383838384,0.9961752080239252,0.9995943518580376,0.6991919191919191,0.33737805770967655
